1,0.000,0.1915,0.1915,0.5417,0.5417,0.75,0.75
1,0.096,0.1369,0.1494,0.7083,0.6712,0.57,0.65
1,0.192,0.1572,0.1395,0.6562,0.6973,0.51,0.59
1,0.288,0.1051,0.1313,0.7812,0.7189,0.51,0.56
1,0.384,0.0898,0.1241,0.8438,0.7367,0.52,0.55
1,0.480,0.0551,0.1182,0.9062,0.7514,0.53,0.55
1,0.576,0.0866,0.1114,0.8542,0.7681,0.53,0.54
1,0.672,0.0787,0.1044,0.8750,0.7852,0.42,0.53
1,0.768,0.0029,0.1000,1.0000,0.7959,0.48,0.52
1,0.864,0.0149,0.0950,0.9792,0.8082,0.47,0.52
1,0.960,0.0885,0.0915,0.8438,0.8165,0.47,0.51
2,0.000,0.0681,0.0681,0.8333,0.8333,0.49,0.49
2,0.096,0.0531,0.0334,0.8854,0.9441,0.45,0.49
2,0.192,0.0407,0.0330,0.9375,0.9442,0.45,0.48
2,0.288,0.0301,0.0362,0.9688,0.9384,0.46,0.48
2,0.384,0.0004,0.0361,1.0000,0.9395,0.48,0.48
2,0.480,0.0649,0.0352,0.8646,0.9412,0.47,0.48
2,0.576,0.0069,0.0342,1.0000,0.9428,0.46,0.48
2,0.672,0.0010,0.0340,1.0000,0.9437,0.50,0.48
2,0.768,0.0076,0.0337,0.9896,0.9443,0.47,0.48
2,0.864,0.0033,0.0331,1.0000,0.9453,0.53,0.48
2,0.960,0.0499,0.0327,0.9896,0.9462,0.58,0.48
3,0.000,0.0000,0.0000,1.0000,1.0000,0.52,0.52
3,0.096,0.0095,0.0254,1.0000,0.9569,0.55,0.49
3,0.192,0.0049,0.0244,1.0000,0.9617,0.46,0.49
3,0.288,0.0000,0.0254,1.0000,0.9589,0.50,0.49
3,0.384,0.0039,0.0246,1.0000,0.9603,0.51,0.49
3,0.480,0.0322,0.0239,0.9271,0.9613,0.45,0.48
3,0.576,0.0269,0.0230,0.9479,0.9629,0.41,0.48
3,0.672,0.0127,0.0222,0.9688,0.9645,0.45,0.48
3,0.768,0.0128,0.0225,0.9688,0.9637,0.48,0.48
3,0.864,0.0798,0.0223,0.8646,0.9641,0.50,0.48
3,0.960,0.1005,0.0220,0.8021,0.9644,0.44,0.48
4,0.000,0.0065,0.0065,0.9896,0.9896,0.47,0.47
4,0.096,0.0000,0.0147,1.0000,0.9791,0.50,0.46
4,0.192,0.0000,0.0168,1.0000,0.9740,0.48,0.46
4,0.288,0.0072,0.0167,1.0000,0.9736,0.48,0.46
4,0.384,0.0613,0.0170,0.8646,0.9736,0.43,0.47
4,0.480,0.0120,0.0170,0.9792,0.9735,0.45,0.47
4,0.576,0.0012,0.0171,1.0000,0.9731,0.44,0.46
4,0.672,0.0000,0.0170,1.0000,0.9734,0.50,0.46
4,0.768,0.0063,0.0167,1.0000,0.9737,0.49,0.46
4,0.864,0.0082,0.0173,0.9896,0.9727,0.46,0.46
4,0.960,0.0048,0.0173,1.0000,0.9727,0.46,0.47
5,0.000,0.0762,0.0762,0.8646,0.8646,0.49,0.49
5,0.096,0.0009,0.0122,1.0000,0.9822,0.50,0.47
5,0.192,0.0357,0.0129,0.9583,0.9803,0.46,0.47
5,0.288,0.0171,0.0135,0.9688,0.9792,0.46,0.47
5,0.384,0.0601,0.0145,0.9479,0.9775,0.50,0.47
5,0.480,0.0341,0.0145,0.9583,0.9771,0.48,0.47
5,0.576,0.0000,0.0141,1.0000,0.9782,0.51,0.47
5,0.672,0.0113,0.0141,0.9896,0.9783,0.46,0.47
5,0.768,0.0027,0.0147,1.0000,0.9771,0.44,0.46
5,0.864,0.0000,0.0144,1.0000,0.9773,0.44,0.46
5,0.960,0.0015,0.0143,1.0000,0.9774,0.46,0.46
6,0.000,0.0078,0.0078,1.0000,1.0000,0.43,0.43
6,0.096,0.0000,0.0153,1.0000,0.9763,0.44,0.44
6,0.192,0.1004,0.0142,0.7917,0.9783,0.43,0.44
6,0.288,0.0019,0.0135,1.0000,0.9795,0.49,0.45
6,0.384,0.0016,0.0139,1.0000,0.9790,0.46,0.45
6,0.480,0.0022,0.0134,0.9896,0.9797,0.43,0.45
6,0.576,0.0000,0.0129,1.0000,0.9807,0.46,0.45
6,0.672,0.0000,0.0125,1.0000,0.9813,0.47,0.44
6,0.768,0.0005,0.0127,1.0000,0.9810,0.44,0.44
6,0.864,0.0219,0.0124,0.9792,0.9817,0.42,0.44
6,0.960,0.0038,0.0127,1.0000,0.9812,0.43,0.44
7,0.000,0.0000,0.0000,1.0000,1.0000,0.44,0.44
7,0.096,0.0340,0.0090,0.9688,0.9871,0.42,0.43
7,0.192,0.0000,0.0094,1.0000,0.9871,0.43,0.43
7,0.288,0.0006,0.0102,1.0000,0.9859,0.40,0.43
7,0.384,0.0022,0.0105,1.0000,0.9852,0.43,0.43
7,0.480,0.0091,0.0111,1.0000,0.9838,0.48,0.43
7,0.576,0.0013,0.0118,1.0000,0.9825,0.46,0.43
7,0.672,0.0642,0.0116,0.8854,0.9831,0.42,0.43
7,0.768,0.0046,0.0118,0.9896,0.9825,0.42,0.43
7,0.864,0.0000,0.0112,1.0000,0.9835,0.44,0.43
7,0.960,0.0101,0.0109,0.9896,0.9842,0.43,0.43
8,0.000,0.0605,0.0605,0.8333,0.8333,0.38,0.38
8,0.096,0.0324,0.0091,0.9167,0.9863,0.40,0.42
8,0.192,0.0155,0.0106,0.9688,0.9834,0.40,0.41
8,0.288,0.0026,0.0108,1.0000,0.9837,0.42,0.41
8,0.384,0.0035,0.0111,0.9896,0.9837,0.41,0.42
8,0.480,0.0000,0.0110,1.0000,0.9838,0.47,0.42
8,0.576,0.0098,0.0109,0.9896,0.9840,0.41,0.42
8,0.672,0.0000,0.0109,1.0000,0.9838,0.50,0.42
8,0.768,0.0135,0.0109,0.9792,0.9840,0.40,0.42
8,0.864,0.0000,0.0103,1.0000,0.9850,0.42,0.42
8,0.960,0.0168,0.0101,0.9688,0.9851,0.38,0.42
9,0.000,0.0017,0.0017,1.0000,1.0000,0.43,0.43
9,0.096,0.0000,0.0103,1.0000,0.9853,0.42,0.41
9,0.192,0.0000,0.0096,1.0000,0.9863,0.44,0.41
9,0.288,0.0032,0.0087,1.0000,0.9877,0.42,0.41
9,0.384,0.0119,0.0083,1.0000,0.9883,0.38,0.41
9,0.480,0.0608,0.0088,0.9062,0.9876,0.38,0.40
9,0.576,0.0073,0.0086,0.9792,0.9877,0.36,0.40
9,0.672,0.0083,0.0086,1.0000,0.9876,0.42,0.41
9,0.768,0.0111,0.0088,0.9688,0.9874,0.37,0.41
9,0.864,0.0000,0.0089,1.0000,0.9874,0.42,0.41
9,0.960,0.0017,0.0088,1.0000,0.9874,0.40,0.41
10,0.000,0.0000,0.0000,1.0000,1.0000,0.42,0.42
10,0.096,0.0072,0.0080,1.0000,0.9882,0.40,0.41
10,0.192,0.0000,0.0066,1.0000,0.9911,0.47,0.40
10,0.288,0.0117,0.0080,0.9896,0.9883,0.38,0.40
10,0.384,0.0298,0.0084,0.9896,0.9875,0.40,0.40
10,0.480,0.0031,0.0089,1.0000,0.9863,0.44,0.40
10,0.576,0.0060,0.0088,1.0000,0.9866,0.38,0.40
10,0.672,0.0470,0.0087,0.9167,0.9870,0.35,0.40
10,0.768,0.0515,0.0087,0.8854,0.9870,0.35,0.40
10,0.864,0.0006,0.0087,1.0000,0.9872,0.41,0.40
10,0.960,0.0000,0.0086,1.0000,0.9875,0.40,0.40
11,0.000,0.0002,0.0002,1.0000,1.0000,0.38,0.38
11,0.096,0.0015,0.0097,1.0000,0.9845,0.41,0.40
11,0.192,0.0011,0.0091,1.0000,0.9868,0.40,0.40
11,0.288,0.0184,0.0081,0.9479,0.9880,0.38,0.39
11,0.384,0.0149,0.0081,0.9688,0.9879,0.37,0.39
11,0.480,0.0000,0.0078,1.0000,0.9885,0.37,0.39
11,0.576,0.0000,0.0072,1.0000,0.9895,0.39,0.39
11,0.672,0.0254,0.0072,0.9792,0.9897,0.37,0.39
11,0.768,0.0000,0.0074,1.0000,0.9894,0.38,0.39
11,0.864,0.0000,0.0074,1.0000,0.9896,0.38,0.39
11,0.960,0.0048,0.0074,0.9896,0.9894,0.43,0.39
12,0.000,0.0106,0.0106,0.9896,0.9896,0.43,0.43
12,0.096,0.0006,0.0072,1.0000,0.9905,0.37,0.39
12,0.192,0.0035,0.0070,1.0000,0.9913,0.38,0.38
12,0.288,0.0010,0.0063,1.0000,0.9923,0.33,0.38
12,0.384,0.0002,0.0070,1.0000,0.9912,0.40,0.38
12,0.480,0.0000,0.0066,1.0000,0.9919,0.34,0.38
12,0.576,0.0040,0.0067,1.0000,0.9917,0.40,0.38
12,0.672,0.0179,0.0066,1.0000,0.9915,0.37,0.38
12,0.768,0.0030,0.0066,0.9896,0.9913,0.36,0.38
12,0.864,0.0000,0.0065,1.0000,0.9916,0.40,0.38
12,0.960,0.0259,0.0067,0.9583,0.9911,0.37,0.38
13,0.000,0.0000,0.0000,1.0000,1.0000,0.42,0.42
13,0.096,0.0010,0.0063,1.0000,0.9925,0.36,0.37
13,0.192,0.0006,0.0065,1.0000,0.9919,0.43,0.38
13,0.288,0.0003,0.0067,1.0000,0.9911,0.34,0.38
13,0.384,0.0168,0.0065,0.9896,0.9916,0.33,0.38
13,0.480,0.0028,0.0062,1.0000,0.9915,0.35,0.38
13,0.576,0.0173,0.0067,0.9688,0.9903,0.40,0.37
13,0.672,0.0325,0.0064,0.9479,0.9908,0.37,0.37
13,0.768,0.0000,0.0063,1.0000,0.9912,0.37,0.37
13,0.864,0.0062,0.0065,1.0000,0.9909,0.36,0.37
13,0.960,0.0000,0.0067,1.0000,0.9907,0.36,0.37
14,0.000,0.0291,0.0291,0.9479,0.9479,0.34,0.34
14,0.096,0.0000,0.0068,1.0000,0.9901,0.36,0.36
14,0.192,0.0029,0.0057,1.0000,0.9926,0.35,0.36
14,0.288,0.0178,0.0063,0.9583,0.9912,0.33,0.36
14,0.384,0.0003,0.0066,1.0000,0.9916,0.34,0.36
14,0.480,0.0000,0.0062,1.0000,0.9921,0.37,0.36
14,0.576,0.0007,0.0062,1.0000,0.9919,0.34,0.36
14,0.672,0.0000,0.0057,1.0000,0.9927,0.35,0.35
14,0.768,0.0125,0.0058,1.0000,0.9926,0.37,0.35
14,0.864,0.0071,0.0059,0.9896,0.9923,0.35,0.35
14,0.960,0.0000,0.0060,1.0000,0.9922,0.35,0.35
15,0.000,0.0000,0.0000,1.0000,1.0000,0.35,0.35
15,0.096,0.0182,0.0055,0.9792,0.9916,0.36,0.36
15,0.192,0.0000,0.0044,1.0000,0.9935,0.33,0.35
15,0.288,0.0261,0.0056,0.9479,0.9926,0.32,0.35
15,0.384,0.0000,0.0058,1.0000,0.9924,0.37,0.35
15,0.480,0.0220,0.0059,0.9688,0.9918,0.31,0.35
15,0.576,0.0009,0.0057,1.0000,0.9919,0.35,0.35
15,0.672,0.0002,0.0057,1.0000,0.9920,0.36,0.35
15,0.768,0.0008,0.0055,1.0000,0.9922,0.32,0.35
15,0.864,0.0613,0.0056,0.8646,0.9921,0.33,0.34
15,0.960,0.0351,0.0057,0.9375,0.9921,0.32,0.34
